web_name,product_names,prices,product_types,urls
nshop,SW380S - The Legend of Zelda Tears of the Kingdom Collector's Edition (Korea Ver.),"4,180,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/zelda-tears-of-the-kingdom-collector-s-edition-switch
nshop,SW310 - Doraemon Story of Seasons Friends of the Great Kingdom cho Nintendo Switch,"1,180,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/doraemon-story-of-seasons-friends-of-the-great-kingdom-nintendo-switch
nshop,SW311 - Sonic Frontiers cho Nintendo Switch,"1,280,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/sonic-frontiers-nintendo-switch
nshop,SW312 - Tactics Ogre Reborn cho Nintendo Switch,"1,180,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/tactics-ogre-reborn-nintendo-switch
nshop,SW313 - CRISIS CORE FINAL FANTASY VII REUNION cho Nintendo Switch,"1,200,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/crisis-core-final-fantasy-vii-reunion-nintendo-switch
nshop,SW314 - Dragon Quest Treasures cho Nintendo Switch,"1,350,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/dragon-quest-treasures-nintendo-switch
muagame,Game Nintendo Switch Lego The Incredibles,780.000₫,GAME NINTENDO SWICH,https://muagame.vn/game/dia-game-ps4-lego-the-incredibles-he-asia.html
nshop,SW315 - My Hero One's Justice 2 cho Nintendo Switch,"900,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/my-hero-one-s-justice-2-cho-nintendo-switch
muagame,Game Nintendo Switch Final Fantasy XII The Zodiac Age,1.050.000₫,GAME NINTENDO SWICH,https://muagame.vn/game/game-nintendo-switch-final-fantasy-xii-the-zodiac-age.html
muagame,Game Nintendo Switch Rayman Legends Definitive Edition,850.000₫,GAME NINTENDO SWICH,https://muagame.vn/game/game-nintendo-switch-rayman-legends-definitive-edition.html
herogame,Game Fire Emblem Engage: Divine Edition - Nintendo Switch,"2,700,000₫",Game Nintendo Switch,https://www.herogame.vn/game-fire-emblem-engage-divine-edition-nintendo-switch
muagame,Game Nintendo Switch Final Fantasy X/X-2 HD Remaster,990.000₫,GAME NINTENDO SWICH,https://muagame.vn/game/game-nintendo-switch-final-fantasy-x-x-2-hd-remaster.html
herogame,Game The Legend of Heroes: Trails of Cold Steels III - Nintendo Switch,"1,100,000₫",Game Nintendo Switch,https://www.herogame.vn/game-the-legend-of-heroes-trails-of-cold-steels-iii-nintendo-switch
herogame,Game Story of Seasons: A Wonderful Life Premium Edition - Nintendo Switch,"1,350,000₫",Game Nintendo Switch,https://www.herogame.vn/game-story-of-seasons-a-wonderful-life-premium-edition-nintendo-switch
nshop,SW309 - HARVESTELLA cho Nintendo Switch,"1,300,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/harvestella-nintendo-switch
nshop,SW307 - It Takes Two cho Nintendo Switch,"990,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/it-takes-two-nintendo-switch
nshop,SW306A - Bayonetta 3 Trinity Masquerade Edition cho Nintendo Switch,"2,950,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/bayonetta-3-trinity-masquerade-edition-nintendo-switch
nshop,SW308 - Sifu cho Nintendo Switch,"1,100,000 ₫",Game Cho Nintendo Switch & Switch Lite,https://www.nshop.com.vn/products/sifu-vengeance-edition-nintendo-switch
